datetime,city,pm25,pm10,no2,o3
2025-01-15 00:00:00,Berlin,25.7,41.4,23.1,34.8
2025-01-15 03:00:00,Berlin,24.8,48.8,17.4,37.5
2025-01-15 06:00:00,Berlin,18.9,30.5,10.1,43.1
2025-01-15 09:00:00,Berlin,14.7,24.4,12.0,36.7
2025-01-15 12:00:00,Berlin,14.3,30.5,7.9,38.0
2025-01-15 15:00:00,Berlin,20.3,35.5,10.2,43.3
2025-01-15 18:00:00,Berlin,21.3,40.6,15.1,33.7
2025-01-15 21:00:00,Berlin,22.7,41.4,22.7,26.4
2025-01-16 00:00:00,Berlin,24.7,38.2,14.7,30.7
2025-01-16 03:00:00,Berlin,22.7,38.8,22.5,33.1
2025-01-16 06:00:00,Berlin,25.0,44.5,10.6,37.5
2025-01-16 09:00:00,Berlin,15.7,23.3,5.0,33.5
2025-01-16 12:00:00,Berlin,11.1,13.4,8.2,37.1
2025-01-16 15:00:00,Berlin,15.6,36.0,11.4,39.1
2025-01-16 18:00:00,Berlin,18.5,39.1,6.5,33.7
2025-01-16 21:00:00,Berlin,24.6,49.9,14.3,33.6
2025-01-17 00:00:00,Berlin,33.7,62.4,24.3,34.5
2025-01-17 03:00:00,Berlin,29.4,51.6,20.3,37.1
2025-01-17 06:00:00,Berlin,16.7,31.4,13.5,29.1
2025-01-17 09:00:00,Berlin,15.2,20.9,8.4,39.6
2025-01-17 12:00:00,Berlin,15.0,28.5,5.0,38.6
2025-01-17 15:00:00,Berlin,7.8,18.2,5.0,38.8
2025-01-17 18:00:00,Berlin,22.0,41.3,19.1,38.3
2025-01-17 21:00:00,Berlin,27.3,47.3,11.3,30.7
2025-01-18 00:00:00,Berlin,22.0,44.0,10.5,33.1
2025-01-18 03:00:00,Berlin,20.0,33.0,14.9,31.8
2025-01-18 06:00:00,Berlin,18.2,33.9,10.8,37.9
2025-01-18 09:00:00,Berlin,14.7,26.3,18.3,40.2
2025-01-18 12:00:00,Berlin,6.5,10.0,5.0,38.6
2025-01-18 15:00:00,Berlin,15.3,35.2,10.1,40.1
2025-01-18 18:00:00,Berlin,19.1,35.3,15.4,31.0
2025-01-18 21:00:00,Berlin,23.2,33.2,10.7,28.1
2025-01-19 00:00:00,Berlin,22.4,45.0,15.2,38.1
2025-01-19 03:00:00,Berlin,30.7,60.3,22.0,36.8
2025-01-19 06:00:00,Berlin,21.7,40.3,7.9,28.7
2025-01-19 09:00:00,Berlin,17.7,31.6,21.7,34.2
2025-01-19 12:00:00,Berlin,11.4,19.1,9.9,41.4
2025-01-19 15:00:00,Berlin,10.0,11.2,5.4,42.0
2025-01-19 18:00:00,Berlin,16.0,24.9,8.4,36.3
2025-01-19 21:00:00,Berlin,22.7,42.4,13.6,27.0
2025-01-20 00:00:00,Berlin,21.8,36.3,15.3,44.1
2025-01-20 03:00:00,Berlin,28.3,43.1,19.9,20.8
2025-01-20 06:00:00,Berlin,21.3,37.9,20.1,40.1
2025-01-20 09:00:00,Berlin,12.3,23.7,6.4,45.6
2025-01-20 12:00:00,Berlin,7.1,10.0,5.0,35.8
2025-01-20 15:00:00,Berlin,16.0,27.3,7.1,31.9
2025-01-20 18:00:00,Berlin,15.7,31.1,13.2,36.2
2025-01-20 21:00:00,Berlin,20.5,35.7,17.1,28.8
2025-01-21 00:00:00,Berlin,31.0,55.6,17.6,24.8
2025-01-21 03:00:00,Berlin,24.2,46.5,19.1,31.0
2025-01-21 06:00:00,Berlin,18.8,30.2,11.1,39.8
2025-01-21 09:00:00,Berlin,14.9,32.9,14.4,31.9
2025-01-21 12:00:00,Berlin,8.4,10.0,8.5,49.4
2025-01-21 15:00:00,Berlin,17.2,38.3,9.6,37.2
2025-01-21 18:00:00,Berlin,17.9,43.9,10.8,35.2
2025-01-21 21:00:00,Berlin,22.5,41.6,8.5,30.6
2025-01-22 00:00:00,Berlin,28.5,42.1,24.8,29.2
2025-01-22 03:00:00,Berlin,25.2,44.4,15.1,29.6
2025-01-22 06:00:00,Berlin,23.1,47.6,20.2,34.9
2025-01-22 09:00:00,Berlin,17.5,30.4,8.0,36.5
2025-01-22 12:00:00,Berlin,10.9,26.0,5.5,39.7
2025-01-22 15:00:00,Berlin,13.7,28.3,5.0,36.1
2025-01-22 18:00:00,Berlin,20.0,39.8,21.8,42.8
2025-01-22 21:00:00,Berlin,26.9,48.7,12.7,32.6
2025-01-23 00:00:00,Berlin,27.9,53.3,12.7,28.5
2025-01-23 03:00:00,Berlin,27.2,52.5,13.8,33.3
2025-01-23 06:00:00,Berlin,13.6,12.2,10.9,37.8
2025-01-23 09:00:00,Berlin,16.1,26.3,13.1,36.8
2025-01-23 12:00:00,Berlin,10.6,17.1,5.0,43.2
2025-01-23 15:00:00,Berlin,10.8,18.4,7.9,32.6
2025-01-23 18:00:00,Berlin,17.5,29.8,13.8,30.8
2025-01-23 21:00:00,Berlin,29.4,60.7,19.2,33.5
2025-01-24 00:00:00,Berlin,31.2,54.7,16.8,34.9
2025-01-24 03:00:00,Berlin,24.7,35.0,24.3,31.5
2025-01-24 06:00:00,Berlin,19.2,36.0,19.6,28.7
2025-01-24 09:00:00,Berlin,12.4,26.1,6.0,35.9
2025-01-24 12:00:00,Berlin,14.4,18.5,10.4,43.4
2025-01-24 15:00:00,Berlin,12.3,27.8,13.1,32.3
2025-01-24 18:00:00,Berlin,22.2,38.2,16.9,28.6
2025-01-24 21:00:00,Berlin,28.4,45.5,15.4,38.6
2025-01-25 00:00:00,Berlin,34.1,63.7,24.6,32.6
2025-01-25 03:00:00,Berlin,29.9,62.6,19.9,28.7
2025-01-25 06:00:00,Berlin,22.2,33.6,12.9,32.5
2025-01-25 09:00:00,Berlin,11.2,19.3,5.0,51.2
2025-01-25 12:00:00,Berlin,5.9,10.0,5.7,42.7
2025-01-25 15:00:00,Berlin,13.9,19.1,16.9,37.8
2025-01-25 18:00:00,Berlin,20.0,36.5,14.5,29.7
2025-01-25 21:00:00,Berlin,25.7,47.2,26.9,34.5
2025-01-26 00:00:00,Berlin,29.4,55.2,17.8,33.0
2025-01-26 03:00:00,Berlin,24.2,43.8,18.4,32.0
2025-01-26 06:00:00,Berlin,14.0,21.9,11.9,42.0
2025-01-26 09:00:00,Berlin,11.6,15.4,14.4,32.0
2025-01-26 12:00:00,Berlin,11.9,23.1,16.3,35.7
2025-01-26 15:00:00,Berlin,6.1,12.9,6.3,29.4
2025-01-26 18:00:00,Berlin,24.6,42.9,16.5,32.9
2025-01-26 21:00:00,Berlin,25.6,49.0,16.9,32.2
2025-01-27 00:00:00,Berlin,24.7,46.0,16.5,30.7
2025-01-27 03:00:00,Berlin,25.5,51.3,18.2,34.6
2025-01-27 06:00:00,Berlin,16.9,30.9,7.1,33.5
2025-01-27 09:00:00,Berlin,12.4,22.3,5.0,42.7
2025-01-27 12:00:00,Berlin,13.4,24.8,16.0,33.8
2025-01-27 15:00:00,Berlin,16.7,23.1,14.7,36.4
2025-01-27 18:00:00,Berlin,15.9,22.3,14.8,26.9
2025-01-27 21:00:00,Berlin,32.3,62.4,16.6,38.3
2025-01-28 00:00:00,Berlin,26.3,51.5,16.6,24.2
