datetime,city,temperature_c,humidity_pct,wind_speed_kmh
2025-01-15T00:00,Berlin,2.0,98,14.4
2025-01-15T01:00,Berlin,1.9,100,16.5
2025-01-15T02:00,Berlin,2.2,100,15.2
2025-01-15T03:00,Berlin,2.5,99,14.2
2025-01-15T04:00,Berlin,2.5,100,13.4
2025-01-15T05:00,Berlin,2.5,100,12.3
2025-01-15T06:00,Berlin,2.5,100,11.7
2025-01-15T07:00,Berlin,2.5,99,11.7
2025-01-15T08:00,Berlin,2.6,99,12.3
2025-01-15T09:00,Berlin,2.8,100,11.8
2025-01-15T10:00,Berlin,3.3,99,11.4
2025-01-15T11:00,Berlin,3.6,98,10.2
2025-01-15T12:00,Berlin,3.8,98,9.2
2025-01-15T13:00,Berlin,4.2,99,9.4
2025-01-15T14:00,Berlin,4.0,99,9.9
2025-01-15T15:00,Berlin,3.4,100,8.7
2025-01-15T16:00,Berlin,2.8,100,6.1
2025-01-15T17:00,Berlin,2.5,100,7.2
2025-01-15T18:00,Berlin,2.3,99,5.4
2025-01-15T19:00,Berlin,2.2,99,4.6
2025-01-15T20:00,Berlin,2.0,99,3.8
2025-01-15T21:00,Berlin,2.0,99,0.8
2025-01-15T22:00,Berlin,1.9,100,1.3
2025-01-15T23:00,Berlin,1.8,99,2.7
2025-01-16T00:00,Berlin,2.0,99,4.2
2025-01-16T01:00,Berlin,2.8,99,7.0
2025-01-16T02:00,Berlin,2.7,99,5.2
2025-01-16T03:00,Berlin,2.4,99,2.6
2025-01-16T04:00,Berlin,2.3,99,6.7
2025-01-16T05:00,Berlin,2.0,100,8.9
2025-01-16T06:00,Berlin,1.9,100,8.7
2025-01-16T07:00,Berlin,1.9,99,9.6
2025-01-16T08:00,Berlin,2.1,99,11.2
2025-01-16T09:00,Berlin,2.2,99,13.3
2025-01-16T10:00,Berlin,2.3,93,14.3
2025-01-16T11:00,Berlin,2.5,94,14.7
2025-01-16T12:00,Berlin,2.7,93,13.8
2025-01-16T13:00,Berlin,2.5,93,11.8
2025-01-16T14:00,Berlin,2.5,92,10.7
2025-01-16T15:00,Berlin,2.2,92,9.1
2025-01-16T16:00,Berlin,2.0,93,10.2
2025-01-16T17:00,Berlin,1.9,93,10.1
2025-01-16T18:00,Berlin,1.8,93,9.5
