datetime,city,pm25,pm10,no2,o3
2025-01-15 00:00:00,Moscow,30.3,58.6,21.6,24.7
2025-01-15 03:00:00,Moscow,32.5,65.5,21.9,38.4
2025-01-15 06:00:00,Moscow,26.9,57.6,16.3,24.6
2025-01-15 09:00:00,Moscow,18.7,22.0,12.5,35.2
2025-01-15 12:00:00,Moscow,16.8,29.2,9.0,36.5
2025-01-15 15:00:00,Moscow,17.2,33.3,9.5,31.6
2025-01-15 18:00:00,Moscow,24.1,50.1,15.2,34.6
2025-01-15 21:00:00,Moscow,38.4,61.1,31.3,29.5
2025-01-16 00:00:00,Moscow,28.9,58.0,18.8,28.6
2025-01-16 03:00:00,Moscow,23.5,39.0,6.4,28.5
2025-01-16 06:00:00,Moscow,29.2,57.6,16.7,30.4
2025-01-16 09:00:00,Moscow,18.5,33.1,5.0,28.2
2025-01-16 12:00:00,Moscow,16.3,33.9,6.0,24.2
2025-01-16 15:00:00,Moscow,19.6,40.7,13.4,38.7
2025-01-16 18:00:00,Moscow,26.6,46.2,22.1,31.2
2025-01-16 21:00:00,Moscow,28.9,49.4,26.0,33.0
2025-01-17 00:00:00,Moscow,30.1,55.2,17.9,29.5
2025-01-17 03:00:00,Moscow,32.9,54.9,27.3,33.7
2025-01-17 06:00:00,Moscow,19.4,29.6,8.6,32.0
2025-01-17 09:00:00,Moscow,25.3,43.2,12.5,32.7
2025-01-17 12:00:00,Moscow,20.0,42.9,11.2,27.7
2025-01-17 15:00:00,Moscow,21.4,45.4,20.0,37.0
2025-01-17 18:00:00,Moscow,27.0,56.5,20.9,35.4
2025-01-17 21:00:00,Moscow,35.0,65.9,24.0,32.3
2025-01-18 00:00:00,Moscow,37.8,69.2,28.1,32.7
2025-01-18 03:00:00,Moscow,27.3,51.6,19.7,22.8
2025-01-18 06:00:00,Moscow,26.4,42.0,16.1,34.8
2025-01-18 09:00:00,Moscow,16.5,25.5,10.6,45.1
2025-01-18 12:00:00,Moscow,18.0,37.1,5.6,32.3
2025-01-18 15:00:00,Moscow,17.9,32.3,17.3,17.9
2025-01-18 18:00:00,Moscow,28.5,51.5,21.3,38.0
2025-01-18 21:00:00,Moscow,27.2,46.5,16.5,27.7
2025-01-19 00:00:00,Moscow,31.1,58.0,18.9,34.0
2025-01-19 03:00:00,Moscow,30.3,54.1,19.4,32.5
2025-01-19 06:00:00,Moscow,25.0,46.4,22.2,34.6
2025-01-19 09:00:00,Moscow,15.0,21.4,15.1,31.2
2025-01-19 12:00:00,Moscow,15.7,31.9,7.0,36.3
2025-01-19 15:00:00,Moscow,19.0,32.6,12.8,44.8
2025-01-19 18:00:00,Moscow,27.9,54.8,19.5,35.9
2025-01-19 21:00:00,Moscow,28.2,54.5,9.8,35.5
2025-01-20 00:00:00,Moscow,31.9,59.4,24.7,28.5
2025-01-20 03:00:00,Moscow,28.8,60.8,17.2,32.1
2025-01-20 06:00:00,Moscow,23.3,42.7,14.4,36.9
2025-01-20 09:00:00,Moscow,20.2,40.7,19.7,42.1
2025-01-20 12:00:00,Moscow,9.8,21.7,5.0,32.1
2025-01-20 15:00:00,Moscow,20.4,31.3,17.4,31.1
2025-01-20 18:00:00,Moscow,20.5,42.4,19.9,30.3
2025-01-20 21:00:00,Moscow,31.4,49.3,21.7,29.4
2025-01-21 00:00:00,Moscow,38.1,67.4,26.4,40.5
2025-01-21 03:00:00,Moscow,36.2,59.8,28.9,26.9
2025-01-21 06:00:00,Moscow,26.9,51.0,18.0,33.2
2025-01-21 09:00:00,Moscow,19.1,35.3,16.6,29.7
2025-01-21 12:00:00,Moscow,17.3,38.9,5.0,40.2
2025-01-21 15:00:00,Moscow,20.4,33.8,8.6,37.3
2025-01-21 18:00:00,Moscow,26.9,55.0,15.6,24.1
2025-01-21 21:00:00,Moscow,26.9,51.4,11.6,28.4
2025-01-22 00:00:00,Moscow,31.0,60.5,23.1,36.0
2025-01-22 03:00:00,Moscow,27.1,56.7,18.6,29.6
2025-01-22 06:00:00,Moscow,24.3,36.3,24.1,29.9
2025-01-22 09:00:00,Moscow,13.3,25.4,10.7,35.1
2025-01-22 12:00:00,Moscow,17.6,37.2,9.2,34.7
2025-01-22 15:00:00,Moscow,18.6,23.4,14.3,33.8
2025-01-22 18:00:00,Moscow,18.9,36.5,16.3,36.6
2025-01-22 21:00:00,Moscow,25.0,43.5,19.1,28.3
2025-01-23 00:00:00,Moscow,35.0,61.5,22.8,22.4
2025-01-23 03:00:00,Moscow,29.0,48.6,29.2,29.2
2025-01-23 06:00:00,Moscow,29.4,61.3,15.6,34.1
2025-01-23 09:00:00,Moscow,20.0,33.4,14.7,41.3
2025-01-23 12:00:00,Moscow,18.1,37.3,13.2,35.4
2025-01-23 15:00:00,Moscow,22.5,40.3,15.6,38.2
2025-01-23 18:00:00,Moscow,25.2,49.5,17.5,35.5
2025-01-23 21:00:00,Moscow,32.0,61.5,15.5,27.6
2025-01-24 00:00:00,Moscow,38.6,73.2,24.2,34.4
2025-01-24 03:00:00,Moscow,31.9,59.2,33.0,26.2
2025-01-24 06:00:00,Moscow,24.3,45.8,16.0,36.0
2025-01-24 09:00:00,Moscow,18.2,28.9,9.6,32.3
2025-01-24 12:00:00,Moscow,17.4,26.7,7.5,44.6
2025-01-24 15:00:00,Moscow,19.4,37.7,14.3,35.5
2025-01-24 18:00:00,Moscow,25.1,49.3,14.9,31.5
2025-01-24 21:00:00,Moscow,37.6,62.8,19.5,27.0
2025-01-25 00:00:00,Moscow,36.7,65.2,21.3,24.0
2025-01-25 03:00:00,Moscow,28.2,51.4,23.7,36.1
2025-01-25 06:00:00,Moscow,18.8,42.8,7.2,39.5
2025-01-25 09:00:00,Moscow,14.8,32.1,5.0,45.9
2025-01-25 12:00:00,Moscow,15.4,29.7,16.9,25.5
2025-01-25 15:00:00,Moscow,17.8,28.2,11.3,34.1
2025-01-25 18:00:00,Moscow,27.1,49.1,24.2,27.7
2025-01-25 21:00:00,Moscow,23.5,49.3,16.9,37.9
2025-01-26 00:00:00,Moscow,31.2,54.7,21.8,34.1
2025-01-26 03:00:00,Moscow,29.0,48.9,29.1,32.1
2025-01-26 06:00:00,Moscow,22.3,45.4,16.3,29.8
2025-01-26 09:00:00,Moscow,19.8,36.5,13.6,30.9
2025-01-26 12:00:00,Moscow,15.4,24.3,8.5,37.2
2025-01-26 15:00:00,Moscow,20.9,38.7,15.2,36.1
2025-01-26 18:00:00,Moscow,26.9,56.2,20.8,24.7
2025-01-26 21:00:00,Moscow,27.6,47.5,21.9,32.4
2025-01-27 00:00:00,Moscow,36.4,60.9,26.9,28.1
