datetime,city,temperature_c,humidity_pct,wind_speed_kmh
2025-01-15T00:00,Moscow,-0.1,91,13.6
2025-01-15T01:00,Moscow,-0.9,91,13.7
2025-01-15T02:00,Moscow,-0.7,95,13.3
2025-01-15T03:00,Moscow,-0.2,94,13.1
2025-01-15T04:00,Moscow,0.2,93,12.8
2025-01-15T05:00,Moscow,0.4,93,12.6
2025-01-15T06:00,Moscow,0.8,93,11.9
2025-01-15T07:00,Moscow,1.0,93,11.4
2025-01-15T08:00,Moscow,1.2,92,11.4
2025-01-15T09:00,Moscow,1.5,91,10.5
2025-01-15T10:00,Moscow,1.5,91,11.8
2025-01-15T11:00,Moscow,1.4,92,11.9
2025-01-15T12:00,Moscow,1.3,92,11.5
2025-01-15T13:00,Moscow,0.9,90,10.2
2025-01-15T14:00,Moscow,0.7,91,9.0
2025-01-15T15:00,Moscow,0.3,91,13.9
2025-01-15T16:00,Moscow,-1.2,85,13.1
2025-01-15T17:00,Moscow,-1.5,85,9.8
2025-01-15T18:00,Moscow,-1.5,87,9.9
2025-01-15T19:00,Moscow,-2.0,87,10.2
2025-01-15T20:00,Moscow,-2.8,82,8.8
2025-01-15T21:00,Moscow,-3.2,81,7.5
2025-01-15T22:00,Moscow,-3.3,80,7.3
2025-01-15T23:00,Moscow,-3.7,82,6.6
2025-01-16T00:00,Moscow,-4.7,85,3.6
2025-01-16T01:00,Moscow,-3.2,80,3.8
2025-01-16T02:00,Moscow,-3.1,84,4.2
2025-01-16T03:00,Moscow,-3.0,86,7.9
2025-01-16T04:00,Moscow,-3.0,86,9.1
2025-01-16T05:00,Moscow,-3.0,87,8.4
2025-01-16T06:00,Moscow,-2.7,87,10.7
2025-01-16T07:00,Moscow,-2.1,87,12.0
2025-01-16T08:00,Moscow,-1.5,89,11.9
2025-01-16T09:00,Moscow,-1.1,91,12.2
2025-01-16T10:00,Moscow,-0.7,91,13.8
2025-01-16T11:00,Moscow,-0.2,90,14.0
2025-01-16T12:00,Moscow,-0.2,95,13.9
2025-01-16T13:00,Moscow,0.2,92,14.6
2025-01-16T14:00,Moscow,0.3,93,14.0
2025-01-16T15:00,Moscow,0.4,94,15.5
2025-01-16T16:00,Moscow,0.7,93,15.7
2025-01-16T17:00,Moscow,1.0,92,16.8
2025-01-16T18:00,Moscow,1.2,92,16.8
2025-01-16T19:00,Moscow,1.4,92,16.1
2025-01-16T20:00,Moscow,1.5,93,15.6
2025-01-16T21:00,Moscow,1.6,94,15.7
2025-01-16T22:00,Moscow,1.6,95,15.7
2025-01-16T23:00,Moscow,1.8,95,16.2
2025-01-17T00:00,Moscow,2.0,95,18.3
2025-01-17T01:00,Moscow,2.1,94,18.4
2025-01-17T02:00,Moscow,2.4,93,18.5
2025-01-17T03:00,Moscow,2.4,93,17.4
2025-01-17T04:00,Moscow,2.3,94,18.1
2025-01-17T05:00,Moscow,2.5,93,18.3
2025-01-17T06:00,Moscow,2.5,93,16.8
2025-01-17T07:00,Moscow,2.5,92,16.4
2025-01-17T08:00,Moscow,2.8,91,16.2
2025-01-17T09:00,Moscow,3.0,90,16.1
2025-01-17T10:00,Moscow,3.0,89,17.0
2025-01-17T11:00,Moscow,3.0,88,16.6
2025-01-17T12:00,Moscow,3.0,87,15.8
2025-01-17T13:00,Moscow,2.9,88,15.8
2025-01-17T14:00,Moscow,2.7,88,14.8
2025-01-17T15:00,Moscow,2.6,88,13.9
2025-01-17T16:00,Moscow,2.5,89,14.0
2025-01-17T17:00,Moscow,2.2,90,13.4
2025-01-17T18:00,Moscow,1.9,92,12.4
2025-01-17T19:00,Moscow,1.6,94,10.3
2025-01-17T20:00,Moscow,1.5,94,8.9
2025-01-17T21:00,Moscow,1.3,95,8.4
2025-01-17T22:00,Moscow,1.2,96,9.2
2025-01-17T23:00,Moscow,1.0,97,9.2
2025-01-18T00:00,Moscow,1.0,97,9.2
2025-01-18T01:00,Moscow,0.6,98,9.8
2025-01-18T02:00,Moscow,0.4,98,9.8
2025-01-18T03:00,Moscow,0.3,99,10.6
2025-01-18T04:00,Moscow,0.4,99,11.7
2025-01-18T05:00,Moscow,0.4,99,12.2
2025-01-18T06:00,Moscow,0.6,99,12.4
2025-01-18T07:00,Moscow,0.7,98,13.0
2025-01-18T08:00,Moscow,0.8,98,13.5
2025-01-18T09:00,Moscow,1.1,97,13.4
2025-01-18T10:00,Moscow,1.5,95,14.1
2025-01-18T11:00,Moscow,1.7,94,15.3
2025-01-18T12:00,Moscow,2.0,93,15.9
2025-01-18T13:00,Moscow,1.9,93,15.8
2025-01-18T14:00,Moscow,2.0,92,16.7
2025-01-18T15:00,Moscow,2.0,91,17.6
2025-01-18T16:00,Moscow,1.9,90,18.2
2025-01-18T17:00,Moscow,1.5,90,18.4
2025-01-18T18:00,Moscow,1.2,90,18.0
2025-01-18T19:00,Moscow,1.2,86,17.5
2025-01-18T20:00,Moscow,1.3,82,17.7
2025-01-18T21:00,Moscow,1.1,79,17.3
2025-01-18T22:00,Moscow,1.0,76,17.6
2025-01-18T23:00,Moscow,0.6,75,18.0
2025-01-19T00:00,Moscow,0.1,75,16.4
2025-01-19T01:00,Moscow,0.5,71,16.4
2025-01-19T02:00,Moscow,0.2,73,16.4
2025-01-19T03:00,Moscow,0.0,74,16.5
2025-01-19T04:00,Moscow,-0.6,75,16.4
2025-01-19T05:00,Moscow,-0.9,76,15.8
2025-01-19T06:00,Moscow,-1.6,77,15.8
2025-01-19T07:00,Moscow,-1.6,75,14.9
2025-01-19T08:00,Moscow,-1.3,73,11.7
2025-01-19T09:00,Moscow,-0.9,72,12.9
2025-01-19T10:00,Moscow,-0.6,71,12.3
2025-01-19T11:00,Moscow,-0.3,70,11.5
2025-01-19T12:00,Moscow,-0.3,71,11.3
2025-01-19T13:00,Moscow,0.2,68,11.2
2025-01-19T14:00,Moscow,-0.5,71,12.0
2025-01-19T15:00,Moscow,-0.8,73,12.5
2025-01-19T16:00,Moscow,-1.0,75,12.4
2025-01-19T17:00,Moscow,-1.0,75,12.6
2025-01-19T18:00,Moscow,-0.3,71,12.7
2025-01-19T19:00,Moscow,0.1,68,13.4
2025-01-19T20:00,Moscow,-0.2,69,13.6
2025-01-19T21:00,Moscow,-0.5,71,14.6
2025-01-19T22:00,Moscow,-0.6,75,15.5
2025-01-19T23:00,Moscow,-1.3,86,16.4
2025-01-20T00:00,Moscow,-0.8,92,15.1
2025-01-20T01:00,Moscow,0.1,92,15.4
2025-01-20T02:00,Moscow,0.8,92,16.1
2025-01-20T03:00,Moscow,1.2,91,17.0
2025-01-20T04:00,Moscow,1.5,90,16.7
2025-01-20T05:00,Moscow,1.5,89,16.3
2025-01-20T06:00,Moscow,1.6,88,16.3
2025-01-20T07:00,Moscow,1.6,87,15.9
2025-01-20T08:00,Moscow,1.6,85,15.7
2025-01-20T09:00,Moscow,1.7,80,15.8
2025-01-20T10:00,Moscow,1.8,77,16.3
2025-01-20T11:00,Moscow,1.5,76,14.8
2025-01-20T12:00,Moscow,1.3,73,14.7
2025-01-20T13:00,Moscow,0.9,72,12.6
2025-01-20T14:00,Moscow,0.3,74,12.2
2025-01-20T15:00,Moscow,0.0,74,12.8
2025-01-20T16:00,Moscow,-0.5,74,14.2
2025-01-20T17:00,Moscow,-0.9,75,13.4
2025-01-20T18:00,Moscow,-1.2,77,12.5
2025-01-20T19:00,Moscow,-1.5,74,12.7
2025-01-20T20:00,Moscow,-2.3,69,13.0
2025-01-20T21:00,Moscow,-2.5,68,11.0
2025-01-20T22:00,Moscow,-2.5,72,10.9
2025-01-20T23:00,Moscow,-2.8,67,11.2
2025-01-21T00:00,Moscow,-3.8,52,10.4
2025-01-21T01:00,Moscow,-3.1,49,8.6
2025-01-21T02:00,Moscow,-3.7,53,9.4
2025-01-21T03:00,Moscow,-4.8,57,11.0
2025-01-21T04:00,Moscow,-6.2,60,9.7
2025-01-21T05:00,Moscow,-6.9,60,9.2
2025-01-21T06:00,Moscow,-7.4,59,8.1
2025-01-21T07:00,Moscow,-7.6,58,7.0
2025-01-21T08:00,Moscow,-7.3,55,5.6
2025-01-21T09:00,Moscow,-6.9,51,4.9
2025-01-21T10:00,Moscow,-6.3,47,4.2
2025-01-21T11:00,Moscow,-5.9,45,3.7
2025-01-21T12:00,Moscow,-5.8,43,3.1
2025-01-21T13:00,Moscow,-5.5,36,4.0
2025-01-21T14:00,Moscow,-5.8,40,5.2
2025-01-21T15:00,Moscow,-6.1,45,5.3
2025-01-21T16:00,Moscow,-6.4,49,4.6
2025-01-21T17:00,Moscow,-6.8,51,6.0
2025-01-21T18:00,Moscow,-7.2,54,6.3
2025-01-21T19:00,Moscow,-7.3,55,6.0
2025-01-21T20:00,Moscow,-7.5,57,7.9
2025-01-21T21:00,Moscow,-7.7,60,8.4
2025-01-21T22:00,Moscow,-7.7,61,7.8
2025-01-21T23:00,Moscow,-7.7,61,8.9
2025-01-22T00:00,Moscow,-7.6,60,10.3
2025-01-22T01:00,Moscow,-7.3,59,10.1
2025-01-22T02:00,Moscow,-7.2,60,10.7
2025-01-22T03:00,Moscow,-7.2,61,11.3
2025-01-22T04:00,Moscow,-7.1,62,12.1
2025-01-22T05:00,Moscow,-7.0,63,12.7
2025-01-22T06:00,Moscow,-6.8,63,12.2
2025-01-22T07:00,Moscow,-6.6,63,12.3
2025-01-22T08:00,Moscow,-6.2,62,13.0
2025-01-22T09:00,Moscow,-5.8,61,12.7
2025-01-22T10:00,Moscow,-5.4,61,13.7
2025-01-22T11:00,Moscow,-5.2,62,14.2
2025-01-22T12:00,Moscow,-4.9,59,12.3
2025-01-22T13:00,Moscow,-4.0,47,12.0
2025-01-22T14:00,Moscow,-3.8,47,14.2
2025-01-22T15:00,Moscow,-3.2,51,15.6
2025-01-22T16:00,Moscow,-2.8,53,16.0
2025-01-22T17:00,Moscow,-2.5,54,15.3
2025-01-22T18:00,Moscow,-2.3,56,14.9
2025-01-22T19:00,Moscow,-2.2,58,14.9
2025-01-22T20:00,Moscow,-2.0,59,15.4
2025-01-22T21:00,Moscow,-2.0,57,15.9
2025-01-22T22:00,Moscow,-2.0,56,15.9
2025-01-22T23:00,Moscow,-2.1,54,15.7
2025-01-23T00:00,Moscow,-2.2,49,15.5
2025-01-23T01:00,Moscow,-2.7,39,14.5
2025-01-23T02:00,Moscow,-2.7,39,13.8
2025-01-23T03:00,Moscow,-2.8,41,13.8
2025-01-23T04:00,Moscow,-2.8,43,13.7
2025-01-23T05:00,Moscow,-2.8,44,12.9
2025-01-23T06:00,Moscow,-2.8,46,13.3
2025-01-23T07:00,Moscow,-2.8,48,10.3
2025-01-23T08:00,Moscow,-2.6,49,11.4
2025-01-23T09:00,Moscow,-2.5,53,12.2
2025-01-23T10:00,Moscow,-2.5,56,12.1
2025-01-23T11:00,Moscow,-2.3,57,11.2
2025-01-23T12:00,Moscow,-2.2,57,10.1
2025-01-23T13:00,Moscow,-3.0,60,10.3
2025-01-23T14:00,Moscow,-3.0,60,9.4
2025-01-23T15:00,Moscow,-2.9,59,9.5
2025-01-23T16:00,Moscow,-2.8,58,10.0
2025-01-23T17:00,Moscow,-2.8,59,10.4
2025-01-23T18:00,Moscow,-2.8,59,10.6
2025-01-23T19:00,Moscow,-2.8,60,9.6
2025-01-23T20:00,Moscow,-2.7,60,8.7
2025-01-23T21:00,Moscow,-2.7,61,8.2
2025-01-23T22:00,Moscow,-2.8,63,7.2
2025-01-23T23:00,Moscow,-3.0,65,7.3
2025-01-24T00:00,Moscow,-2.8,67,8.3
2025-01-24T01:00,Moscow,-2.5,69,9.0
2025-01-24T02:00,Moscow,-2.5,71,9.0
2025-01-24T03:00,Moscow,-2.5,71,9.1
2025-01-24T04:00,Moscow,-2.5,72,8.6
2025-01-24T05:00,Moscow,-2.5,72,8.9
2025-01-24T06:00,Moscow,-2.5,72,8.9
2025-01-24T07:00,Moscow,-2.5,72,8.1
2025-01-24T08:00,Moscow,-2.3,72,7.4
2025-01-24T09:00,Moscow,-1.9,70,7.4
2025-01-24T10:00,Moscow,-1.5,68,8.1
2025-01-24T11:00,Moscow,-1.4,68,8.1
2025-01-24T12:00,Moscow,-1.1,66,7.9
2025-01-24T13:00,Moscow,-1.2,67,8.4
2025-01-24T14:00,Moscow,-1.4,68,8.0
2025-01-24T15:00,Moscow,-1.5,68,8.7
2025-01-24T16:00,Moscow,-1.6,67,8.8
2025-01-24T17:00,Moscow,-1.5,67,7.8
2025-01-24T18:00,Moscow,-1.5,68,7.9
2025-01-24T19:00,Moscow,-1.5,68,8.3
2025-01-24T20:00,Moscow,-1.5,70,8.4
2025-01-24T21:00,Moscow,-1.6,71,7.8
2025-01-24T22:00,Moscow,-1.6,72,7.8
2025-01-24T23:00,Moscow,-1.6,72,7.4
2025-01-25T00:00,Moscow,-1.6,73,7.6
2025-01-25T01:00,Moscow,-1.8,76,8.2
2025-01-25T02:00,Moscow,-1.9,78,7.8
2025-01-25T03:00,Moscow,-1.8,78,7.1
2025-01-25T04:00,Moscow,-1.6,78,7.4
2025-01-25T05:00,Moscow,-1.5,79,8.1
2025-01-25T06:00,Moscow,-1.4,81,8.3
2025-01-25T07:00,Moscow,-1.1,82,9.6
2025-01-25T08:00,Moscow,-0.9,82,9.0
2025-01-25T09:00,Moscow,-0.3,78,7.9
2025-01-25T10:00,Moscow,0.3,76,8.3
2025-01-25T11:00,Moscow,1.1,76,11.9
2025-01-25T12:00,Moscow,1.5,77,9.9
2025-01-25T13:00,Moscow,0.3,82,8.2
2025-01-25T14:00,Moscow,0.2,83,9.1
2025-01-25T15:00,Moscow,0.2,85,9.3
2025-01-25T16:00,Moscow,0.3,85,10.3
2025-01-25T17:00,Moscow,0.4,87,10.9
2025-01-25T18:00,Moscow,0.4,87,11.1
2025-01-25T19:00,Moscow,0.6,88,11.9
2025-01-25T20:00,Moscow,0.5,90,11.1
2025-01-25T21:00,Moscow,0.6,90,12.0
2025-01-25T22:00,Moscow,0.8,88,12.3
2025-01-25T23:00,Moscow,0.8,89,12.2
2025-01-26T00:00,Moscow,0.9,87,12.7
2025-01-26T01:00,Moscow,0.8,89,12.7
2025-01-26T02:00,Moscow,1.0,90,12.7
2025-01-26T03:00,Moscow,1.1,91,13.0
2025-01-26T04:00,Moscow,1.4,91,13.8
2025-01-26T05:00,Moscow,1.5,91,13.7
2025-01-26T06:00,Moscow,1.5,92,13.3
2025-01-26T07:00,Moscow,1.7,92,12.9
2025-01-26T08:00,Moscow,2.0,91,12.6
2025-01-26T09:00,Moscow,2.2,90,12.5
2025-01-26T10:00,Moscow,2.7,90,12.2
2025-01-26T11:00,Moscow,2.8,89,11.8
2025-01-26T12:00,Moscow,3.0,89,11.2
2025-01-26T13:00,Moscow,2.5,91,10.6
2025-01-26T14:00,Moscow,2.3,92,10.3
2025-01-26T15:00,Moscow,2.3,92,9.7
2025-01-26T16:00,Moscow,2.2,93,9.3
2025-01-26T17:00,Moscow,2.0,94,8.7
2025-01-26T18:00,Moscow,1.8,95,8.6
2025-01-26T19:00,Moscow,1.6,95,9.1
2025-01-26T20:00,Moscow,1.5,95,9.7
2025-01-26T21:00,Moscow,1.5,95,9.8
2025-01-26T22:00,Moscow,1.5,95,9.1
2025-01-26T23:00,Moscow,1.6,96,10.1
2025-01-27T00:00,Moscow,1.8,96,11.0
2025-01-27T01:00,Moscow,2.2,96,12.5
2025-01-27T02:00,Moscow,2.5,96,13.3
2025-01-27T03:00,Moscow,2.7,96,13.5
2025-01-27T04:00,Moscow,2.8,96,13.9
2025-01-27T05:00,Moscow,3.1,96,14.3
2025-01-27T06:00,Moscow,3.3,96,15.0
2025-01-27T07:00,Moscow,3.7,96,15.5
2025-01-27T08:00,Moscow,3.9,95,15.9
2025-01-27T09:00,Moscow,4.1,95,16.0
2025-01-27T10:00,Moscow,4.2,94,16.0
2025-01-27T11:00,Moscow,4.4,93,15.6
2025-01-27T12:00,Moscow,4.5,94,14.8
2025-01-27T13:00,Moscow,4.4,95,14.1
2025-01-27T14:00,Moscow,4.4,95,13.8
2025-01-27T15:00,Moscow,4.4,95,14.1
2025-01-27T16:00,Moscow,4.4,94,13.4
2025-01-27T17:00,Moscow,4.3,95,13.0
2025-01-27T18:00,Moscow,4.2,95,12.3
2025-01-27T19:00,Moscow,4.1,95,11.3
2025-01-27T20:00,Moscow,4.0,96,11.1
2025-01-27T21:00,Moscow,3.8,96,10.8
2025-01-27T22:00,Moscow,3.8,96,11.2
2025-01-27T23:00,Moscow,3.8,95,12.2
2025-01-28T00:00,Moscow,3.5,95,12.2
2025-01-28T01:00,Moscow,3.6,95,9.2
2025-01-28T02:00,Moscow,4.0,94,12.6
2025-01-28T03:00,Moscow,3.8,95,10.7
2025-01-28T04:00,Moscow,3.0,97,10.2
2025-01-28T05:00,Moscow,3.1,98,9.2
2025-01-28T06:00,Moscow,3.2,98,8.4
2025-01-28T07:00,Moscow,3.2,98,9.4
2025-01-28T08:00,Moscow,3.2,97,10.6
2025-01-28T09:00,Moscow,3.2,96,12.1
2025-01-28T10:00,Moscow,3.4,96,12.7
2025-01-28T11:00,Moscow,3.7,95,10.2
2025-01-28T12:00,Moscow,3.8,96,9.5
2025-01-28T13:00,Moscow,3.6,96,7.3
2025-01-28T14:00,Moscow,3.6,97,7.2
2025-01-28T15:00,Moscow,3.7,96,7.7
2025-01-28T16:00,Moscow,3.6,96,9.7
2025-01-28T17:00,Moscow,3.7,94,10.1
2025-01-28T18:00,Moscow,3.0,97,9.2
2025-01-28T19:00,Moscow,2.9,97,9.2
2025-01-28T20:00,Moscow,3.0,96,10.4
2025-01-28T21:00,Moscow,3.0,95,10.7
2025-01-28T22:00,Moscow,2.8,95,10.7
2025-01-28T23:00,Moscow,2.8,95,10.0
